id,question,imageURL,answers.0,answers.1,answers.2,answers.3,correctAnswer,correctAnswerIndex,explanation
68,რა თანამიმდევრობით უნდა გაიარონ გზაჯვარედინი სატრანსპორტო საშუალებებმა ისრის მიმართულებით მოძრაობის შემთხვევაში?,https://starti.ge/exam/ticket_media/new/ticketIMG-68.jpg,"ჯერ უნდა გაიაროს ლურჯმა ავტომობილმა, შემდეგ - ტრამვაიმ, ბოლოს - მწვანე ავტომობილმა","ჯერ უნდა გაიაროს ტრამვაიმ, შემდეგ - ლურჯმა ავტომობილმა, ბოლოს - მწვანე ავტომობილმა","ჯერ უნდა გაიაროს ტრამვაიმ და მწვანე ავტომობილმა, ბოლოს - ლურჯმა ავტომობილმა",undefined,"ჯერ უნდა გაიაროს ტრამვაიმ, შემდეგ - ლურჯმა ავტომობილმა, ბოლოს - მწვანე ავტომობილმა",2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-4 პუნქტის „გ“ და „დ“ ქვეპუნქტების თანახმად, არარეგულირებულ გზაჯვარედინზე: გ) თანაბარმნიშვნელოვანი გზების გადაკვეთაზე ურელსო სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მარჯვნიდან მოახლოებულ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის რელსიანი სატრანსპორტო საშუალებების მძღოლებმაც. ასეთ გზაჯვარედინზე რელსიან სატრანსპორტო საშუალებას უპირატესობა აქვს ურელსო სატრანსპორტო საშუალების მიმართ, მიუხედავად მისი მოძრაობის მიმართულებისა. დ) მარცხნივ მოხვევისას ან მობრუნებისას ურელსო სატრა¬ნსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს თანაბარ¬მნიშვნელოვან გზაზე საპირისპირო მიმართულებიდან პირდაპირ ან მარჯვნივ მოძრავ სატრანსპორტო საშუალებას."
69,რა თანამიმდევრობით უნდა გაიარონ გზაჯვარედინი სატრანსპორტო საშუალებებმა ისრის მიმართულებით მოძრაობის შემთხვევაში?,https://starti.ge/exam/ticket_media/new/ticketIMG-69.jpg,"ჯერ უნდა გაიაროს მსუბუქმა ავტომობილმა, შემდეგ - პირველმა ტრამვაიმ, ბოლოს - მეორე ტრამვაიმ","ჯერ უნდა გაიაროს მეორე ტრამვაიმ, შემდეგ - მსუბუქმა ავტომობილმა, ბოლოს - პირველმა ტრამვაიმ","ჯერ უნდა გაიაროს პირველმა ტრამვაიმ, შემდეგ - მეორე ტრამვაიმ, ბოლოს - მსუბუქმა ავტომობილმა",undefined,"ჯერ უნდა გაიაროს პირველმა ტრამვაიმ, შემდეგ - მეორე ტრამვაიმ, ბოლოს - მსუბუქმა ავტომობილმა",3,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-4 პუნქტის „გ“ ქვეპუნქტის თანახმად, არარეგულირებულ გზაჯვარედინზე, თანაბარმნიშვნელოვანი გზების გადაკვეთაზე ურელსო სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მარჯვნიდან მოახლოებულ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის რელსიანი სატრანსპორტო საშუალებების მძღოლებმაც. ასეთ გზაჯვარედინზე რელსიან სატრანსპორტო საშუალებას უპირატესობა აქვს ურელსო სატრანსპორტო საშუალების მიმართ, მიუხედავად მისი მოძრაობის მიმართულებისა."
73,"რა თანამიმდევრობით უნდა გაიარონ გზაჯვარედინი სატრანსპორტო საშუალებებმა ისრის მიმართულებით მოძრაობის შემთხვევაში, თუ შუქნიშანი არ მუშაობს?",https://starti.ge/exam/ticket_media/new/ticketIMG-73.jpg,"ჯერ უნდა გაიაროს ავტობუსმა, შემდეგ - მსუბუქმა ავტომობილმა, შემდეგ - სატვირთო ავტომობილმა, ბოლოს - მოტოციკლმა","ჯერ უნდა გაიაროს მსუბუქმა და სატვირთო ავტომობილებმა, შემდეგ - ავტობუსმა და მოტოციკლმა","ჯერ უნდა გაიაროს ავტობუსმა და მოტოციკლმა, შემდეგ - მსუბუქმა და სატვირთო ავტომობილებმა",undefined,"ჯერ უნდა გაიაროს ავტობუსმა და მოტოციკლმა, შემდეგ - მსუბუქმა და სატვირთო ავტომობილებმა",3,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-4 პუნქტის „ა“ ქვეპუნქტის თანახმად, არარეგულირებულ გზაჯვარედინზე, არათანაბარმნიშვნელოვანი გზების გადაკვეთაზე მეორეხარისხოვან გზაზე მოძრავი სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მთავარი გზიდან მოახლოებულ სატრანსპორტო საშუალებას, მიუხედავად მისი შემდგომი მოძრაობის მიმართულებისა."
75,"რა თანამიმდევრობით უნდა გაიარონ გზაჯვარედინი სატრანსპორტო საშუალებებმა ისრის მიმართულებით მოძრაობის შემთხვევაში, თუ შუქნიშანი გამორთულია?",https://starti.ge/exam/ticket_media/new/ticketIMG-75.jpg,"ჯერ უნდა გაიაროს ავტობუსმა, შემდეგ - მსუბუქმა ავტომობილმა, შემდეგ - მოტოციკლმა, ბოლოს - ტრამვაიმ","ჯერ უნდა გაიაროს ტრამვაიმ, შემდეგ - მსუბუქმა ავტომობილმა, ბოლოს - ავტობუსმა და მოტოციკლმა","ჯერ უნდა გაიაროს მსუბუქმა ავტომობილმა, შემდეგ - ავტობუსმა, შემდეგ - ტრამვაიმ, ბოლოს - სატვირთო ავტომობილმა","ჯერ უნდა გაიაროს მსუბუქმა ავტომობილმა, შემდეგ - ტრამვაიმ, ბოლოს - ავტობუსმა და მოტოციკლმა","ჯერ უნდა გაიაროს ტრამვაიმ, შემდეგ - მსუბუქმა ავტომობილმა, ბოლოს - ავტობუსმა და მოტოციკლმა",2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-4 პუნქტის „გ“ ქვეპუნქტის თანახმად, არარეგულირებულ გზაჯვარედინზე, თანაბარმნიშვნელოვანი გზების გადაკვეთაზე ურელსო სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მარჯვნიდან მოახლოებულ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის რელსიანი სატრანსპორტო საშუალებების მძღოლებმაც. ასეთ გზაჯვარედინზე რელსიან სატრანსპორტო საშუალებას უპირატესობა აქვს ურელსო სატრანსპორტო საშუალების მიმართ, მიუხედავად მისი მოძრაობის მიმართულებისა."
76,რა თანამიმდევრობით უნდა გაიარონ გზაჯვარედინი სატრანსპორტო საშუალებებმა ისრის მიმართულებით მოძრაობის შემთხვევაში?,https://starti.ge/exam/ticket_media/new/ticketIMG-76.jpg,"ჯერ უნდა გაიაროს ავტობუსმა, შემდეგ - მსუბუქმა ავტომობილმა, შემდეგ - მოტოციკლმა, ბოლოს - ტრამვაიმ","ჯერ უნდა გაიაროს ტრამვაიმ, შემდეგ - მსუბუქმა ავტომობილმა, ბოლოს - ავტობუსმა და მოტოციკლმა","ჯერ უნდა გაიაროს მსუბუქმა ავტომობილმა, შემდეგ - ავტობუსმა, მერე - ტრამვაიმ, ბოლოს - მოტოციკლმა","ჯერ უნდა გაიაროს მოტოციკლმა, შემდეგ - ავტობუსმა, ბოლოს ტრამვაიმ და მსუბუქმა ავტომობილმა","ჯერ უნდა გაიაროს მოტოციკლმა, შემდეგ - ავტობუსმა, ბოლოს ტრამვაიმ და მსუბუქმა ავტომობილმა",4,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-4 პუნქტის „ა“, “ბ” და „გ“ ქვეპუნქტების თანახმად, არარეგულირებულ გზაჯვარედინზე: ა) არათანაბარმნიშვნელოვანი გზების გადაკვეთაზე მეორეხარისხოვან გზაზე მოძრავი სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მთავარი გზიდან მოახლოებულ სატრანსპორტო საშუალებას, მიუხედავად მისი შემდგომი მოძრაობის მიმართულებისა; ბ) თუ გზაჯვარედინზე მთავარი გზა იცვლის მიმართულებას, ამ გზაზე მოძრავმა მძღოლებმა ურთიერთშორის უნდა იხელმძღვანელონ თანაბარმნიშვნელოვანი გზების გავლის წესებით. ამავე წესებით უნდა იხელმძღვანელონ ურთიერთშორის მეორეხარისხოვან გზაზე მოძრავმა მძღოლებმაც; გ) თანაბარმნიშვნელოვანი გზების გადაკვეთაზე ურელსო სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მარჯვნიდან მოახლოებულ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის რელსიანი სატრანსპორტო საშუალებების მძღოლებმაც. ასეთ გზაჯვარედინზე რელსიან სატრანსპორტო საშუალებას აქვს უპირატესობა ურელსო სატრანსპორტო საშუალების მიმართ, მიუხედავად მისი მოძრაობის მიმართულებისა."
78,რა თანამიმდევრობით უნდა გაიარონ გზაჯვარედინი სატრანსპორტო საშუალებებმა ისრის მიმართულებით მოძრაობის შემთხვევაში?,https://starti.ge/exam/ticket_media/new/ticketIMG-78.jpg,"ჯერ უნდა გაიაროს წითელმა მსუბუქმა ავტომობილმა, შემდეგ - სატვირთო ავტომობილმა, ბოლოს - მწვანე მსუბუქმა ავტომობილმა","ჯერ უნდა გაიაროს სატვირთო ავტომობილმა, შემდეგ - მწვანე მსუბუქმა ავტომობილმა, ბოლოს - წითელმა მსუბუქმა ავტომობილმა","ჯერ უნდა გაიაროს მწვანე მსუბუქმა ავტომობილმა, შემდეგ - წითელმა მსუბუქმა ავტომობილმა, ბოლოს - სატვირთო ავტომობილმა",undefined,"ჯერ უნდა გაიაროს სატვირთო ავტომობილმა, შემდეგ - მწვანე მსუბუქმა ავტომობილმა, ბოლოს - წითელმა მსუბუქმა ავტომობილმა",2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-4 პუნქტის „ა“, „ბ“ და „გ“ ქვეპუნქტების თანახმად, არარეგულირებულ გზაჯვარედინზე: ა) არათანაბარმნიშვნელოვანი გზების გადაკვეთაზე მეორეხარისხოვან გზაზე მოძრავი სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მთავარი გზიდან მოახლოებულ სატრანსპორტო საშუალებას, მიუხედავად მისი შემდგომი მოძრაობის მიმართულებისა; ბ) თუ გზაჯვარედინზე მთავარი გზა იცვლის მიმართულებას, ამ გზაზე მოძრავმა მძღოლებმა ურთიერთშორის უნდა იხელმძღვანელონ თანაბარმნიშვნელოვანი გზების გავლის წესებით. ამავე წესებით უნდა იხელმძღვანელონ ურთიერთშორის მეორეხარისხოვან გზაზე მოძრავმა მძღოლებმაც; გ) თანაბარმნიშვნელოვანი გზების გადაკვეთაზე ურელსო სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მარჯვნიდან მოახლოებულ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის რელსიანი სატრანსპორტო საშუალებების მძღოლებმაც."
80,რა თანამიმდევრობით უნდა გაიარონ გზაჯვარედინი სატრანსპორტო საშუალებებმა ისრის მიმართულებით მოძრაობის შემთხვევაში?,https://starti.ge/exam/ticket_media/new/ticketIMG-80.jpg,"ჯერ უნდა გაიაროს ყვითელმა ავტომობილმა, შემდეგ - მოტოციკლმა, ბოლოს - წითელმა ავტომობილმა","ჯერ უნდა გაიაროს ყვითელმა ავტომობილმა, შემდეგ - წითელმა ავტომობილმა, ბოლოს - მოტოციკლმა","ჯერ უნდა გაიაროს მოტოციკლმა, შემდეგ - ყვითელმა ავტომობილმა, ბოლოს - წითელმა ავტომობილმა",undefined,"ჯერ უნდა გაიაროს ყვითელმა ავტომობილმა, შემდეგ - მოტოციკლმა, ბოლოს - წითელმა ავტომობილმა",1,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-4 პუნქტის „ა“ და „დ“ ქვეპუნქტების თანახმად, არარეგულირებულ გზაჯვარედინზე: ა) არათანაბარმნიშვნელოვანი გზების გადაკვეთაზე მეორეხარისხოვან გზაზე მოძრავი სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მთავარი გზიდან მოახლოებულ სატრანსპორტო საშუალებას, მიუხედავად მისი შემდგომი მოძრაობის მიმართულებისა; დ) მარცხნივ მოხვევისას ან მობრუნებისას ურელსო სატრა¬ნსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს თანაბარ¬მნიშვნელოვან გზაზე საპირისპირო მიმართულებიდან პირდაპირ ან მარჯვნივ მოძრავ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის რელსიანი სატრანსპორტო საშუალებების მძღოლებმაც."
81,"რომელი ავტომობილის მძღოლს ენიჭება უპირატესობა ისრის მიმართულებით მოძრაობის შემთხვევაში, თუ საგზაო ნიშნები დაფარულია თოვლით?",https://starti.ge/exam/ticket_media/new/ticketIMG-81.jpg,თეთრი ავტომობილის მძღოლს,წითელი ავტომობილის მძღოლს,undefined,undefined,წითელი ავტომობილის მძღოლს,2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-8 პუნქტის თანახმად, თუ მძღოლი ვერ განსაზღვრავს გზაზე საფარის არსებობას (სიბნელის, თოვლის, ტალახის გამო ან სხვა მიზეზით) და არც პრიორიტეტის ნიშნებია, ითვლება, რომ ის მეორეხარისხოვან გზაზე იმყოფება. ამავე კანონის 36-ე მუხლის მე-4 პუნქტის „გ“ ქვეპუნქტის თანახმად, არარეგულირებულ გზაჯვარედინზე, თანაბარმნიშვნელოვანი გზების გადაკვეთაზე ურელსო სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მარჯვნიდან მოახლოებულ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის რელსიანი სატრანსპორტო საშუალებების მძღოლებმაც."
88,რომელი ავტომობილის მძღოლს წარმოექმნება გზის დათმობის ვალდებულება ისრის მიმართულებით მოძრაობის შემთხვევაში?,https://starti.ge/exam/ticket_media/new/ticketIMG-88.jpg,თეთრი ავტომობილის მძღოლს,რუხი ავტომობილის მძღოლს,undefined,undefined,თეთრი ავტომობილის მძღოლს,1,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 32-ე მუხლის მე-4 პუნქტის თანახმად, მოძრაობის ზოლიდან ზოლში მოძრაობის მიმართულების შეუცვლელად გადასვლისას მძღოლმა გზა უნდა დაუთმოს გადასასვლელ მოძრაობის ზოლში თანმხვედრი მიმართულებით მოძრავ სატრანსპორტო საშუალებას. თანმხვედრი მიმართულებით მოძრავი სატრანსპორტო საშუალებების მიერ მოძრაობის ზოლების ერთდროულად შეცვლისას მოძრაობის ტრაექტორიების გადაკვეთის შემთხვევაში გავლის უპირატესობა ენიჭება მარჯნივ მყოფ სატრანსპორტო საშუალების მძღოლს."
89,რა თანამიმდევრობით უნდა გაიარონ გზაჯვარედინი სატრანსპორტო საშუალებებმა ისრის მიმართულებით მოძრაობის შემთხვევაში?,https://starti.ge/exam/ticket_media/new/ticketIMG-89.jpg,"ჯერ უნდა გაიაროს ავტობუსმა, შემდეგ - მსუბუქმა ავტომობილმა, ბოლოს - სატვირთო ავტომობილმა","ჯერ უნდა გაიაროს სატვირთო ავტომობილმა, შემდეგ - მსუბუქმა ავტომობილმა, ბოლოს - ავტობუსმა","ჯერ უნდა გაიაროს ავტობუსმა, შემდეგ - სატვირთო ავტომობილმა, ბოლოს - მსუბუქმა ავტომობილმა",undefined,"ჯერ უნდა გაიაროს ავტობუსმა, შემდეგ - სატვირთო ავტომობილმა, ბოლოს - მსუბუქმა ავტომობილმა",3,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-4 პუნქტის „ა“ და „დ“ ქვეპუნქტების თანახმად, არარეგულირებულ გზაჯვარედინზე: ა) არათანაბარმნიშვნელოვანი გზების გადაკვეთაზე მეორეხარისხოვან გზაზე მოძრავი სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მთავარი გზიდან მოახლოებულ სატრანსპორტო საშუალებას, მიუხედავად მისი შემდგომი მოძრაობის მიმართულებისა; დ) მარცხნივ მოხვევისას ან მობრუნებისას ურელსო სატრა¬ნსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს თანაბარ¬მნიშვნელოვან გზაზე საპირისპირო მიმართულებიდან პირდაპირ ან მარჯვნივ მოძრავ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის რელსიანი სატრანსპორტო საშუალებების მძღოლებმაც."
91,რომელი ავტომობილის მძღოლს წარმოექმნება გზის დათმობის ვალდებულება ისრის მიმართულებით მოძრაობის შემთხვევაში?,https://starti.ge/exam/ticket_media/new/ticketIMG-91.jpg,ყვითელი ავტომობილის მძღოლს,თეთრი ავტომობილის მძღოლს,undefined,undefined,თეთრი ავტომობილის მძღოლს,2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 32-ე მუხლის მე-4 პუნქტის თანახმად, მოძრაობის ზოლიდან ზოლში მოძრაობის მიმართულების შეუცვლელად გადასვლისას მძღოლმა გზა უნდა დაუთმოს გადასასვლელ მოძრაობის ზოლში თანმხვედრი მიმართულებით მოძრავ სატრანსპორტო საშუალებას. თანმხვედრი მიმართულებით მოძრავი სატრანსპორტო საშუალებების მიერ მოძრაობის ზოლების ერთდროულად შეცვლისას მოძრაობის ტრაექტორიების გადაკვეთის შემთხვევაში გავლის უპირატესობა ენიჭება მარჯნივ მყოფ სატრანსპორტო საშუალების მძღოლს."
92,რა თანამიმდევრობით უნდა გაიარონ გზაჯვარედინი ავტომობილებმა ისრის მიმართულებით მოძრაობის შემთხვევაში?,https://starti.ge/exam/ticket_media/new/ticketIMG-92.jpg,"ჯერ უნდა გაიაროს ყვითელმა ავტომობილმა, შემდეგ - ლურჯმა ავტომობილმა, ბოლოს - სატვირთო ავტომობილმა","ჯერ უნდა გაიაროს სატვირთო ავტომობილმა, შემდეგ - ლურჯმა ავტომობილმა, ბოლოს - ყვითელმა ავტომობილმა","ჯერ უნდა გაიაროს ლურჯმა ავტომობილმა, შემდეგ - სატვირთო ავტომობილმა, ბოლოს - ყვითელმა ავტომობილმა",undefined,"ჯერ უნდა გაიაროს ლურჯმა ავტომობილმა, შემდეგ - სატვირთო ავტომობილმა, ბოლოს - ყვითელმა ავტომობილმა",3,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-4 პუნქტის „ა“ და „გ“ ქვეპუნქტების თანახმად, არარეგულირებულ გზაჯვარედინზე: ა) არათანაბარმნიშვნელოვანი გზების გადაკვეთაზე მეორეხარისხოვან გზაზე მოძრავი სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მთავარი გზიდან მოახლოებულ სატრანსპორტო საშუალებას, მიუხედავად მისი შემდგომი მოძრაობის მიმართულებისა; გ) თანაბარმნიშვნელოვანი გზების გადაკვეთაზე ურელსო სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს მარჯვნიდან მოახლოებულ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის რელსიანი სატრანსპორტო საშუალებების მძღოლებმაც."
93,მსუბუქი ავტომობილის შიდა უკუხედვის სარკის გამოყენებისას მძღოლმა უნდა გაითვალისწინოს:,undefined,"მხოლოდ ის გარემოება, რომ სარკე დარეგულირებული უნდა იყოს მძღოლის სიმაღლის შესაბამისად","მხოლოდ ის გარემოება, რომ ამობურცულ სარკეში საგნები უფრო შორს ჩანს ვიდრე სინამდვილეშია","მხოლოდ ის გარემოება, რომ სარკეს გააჩნია „უხილავი უბნები“, რის გამოც იგი ყოველთვის ვერ უზრუნველყოფს სრულყოფილ მხედველობის არეს და გამსწრები სატრანსპორტო საშუალების თვალის მიდევნას",ამ ბილეთში ჩამოთვლილი ყველა გარემოება,ამ ბილეთში ჩამოთვლილი ყველა გარემოება,4,"მსუბუქი ავტომობილის შიდა უკუხედვის სარკის გამოყენებისას მძღოლმა უნდა გაითვალისწინოს, რომ სარკე დარეგულირებული უნდა იყოს მძღოლის სიმაღლის შესაბამისად, ასევე ამობურცულ სარკეში საგნები უფრო შორს ჩანს ვიდრე სინამდვილეშია და სარკეს გააჩნია „მკვდარი უბნები“, რის გამოც იგი ყოველთვის ვერ უზრუნველყოფს სრულყოფილ მხედველობის არეს და გამსწრები სატრანსპორტო საშუალების თვალის მიდევნას."
96,რომელი სატრანსპორტო საშუალების მძღოლს ენიჭება უპირატესობა ისრის მიმართულებით მოძრაობის შემთხვევაში?,https://starti.ge/exam/ticket_media/new/ticketIMG-96.jpg,მსუბუქი ავტომობილის მძღოლს,ტრამვაის მძღოლს,undefined,undefined,ტრამვაის მძღოლს,2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 41-ე მუხლის მე-2 პუნქტის თანახმად, გზაჯვარედინის მიღმა, სადაც ტრამვაის ლიანდაგი სავალ ნაწილს კვეთს, ტრამვაის აქვს უპირატესობა ურელსო სატრანსპორტო საშუალებების მიმართ, გარდა დეპოდან გამოსვლის შემთხვევისა."
97,რომელი სატრანსპორტო საშუალების მძღოლის მიმართ წარმოექმნება გზის დათმობის ვალდებულება ტრაქტორის მძღოლს ისრის მიმართულებით მოძრაობის შემთხვევაში?,https://starti.ge/exam/ticket_media/new/ticketIMG-97.jpg,მხოლოდ მსუბუქი ავტომობილის მძღოლის მიმართ,მხოლოდ მეხრეს მიმართ,"როგორც მსუბუქი ავტომობილის, ასევე მეხრეს მიმართ",undefined,მხოლოდ მეხრეს მიმართ,2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-4 პუნქტის „დ“ ქვეპუნქტის თანახმად, არარეგულირებულ გზაჯვარედინზე მარცხნივ მოხვევისას ან მობრუნებისას ურელსო სატრა¬ნსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს თანაბარ¬მნიშვნელოვან გზაზე საპირისპირო მიმართულებიდან პირდაპირ ან მარჯვნივ მოძრავ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის რელსიანი სატრანსპორტო საშუალებების მძღოლებმაც. ამავე მუხლის მე-6 პუნქტის თუ საგზაო ნიშნით სხვა რამ არ არის გათვალისწინებული, გრუნტოვანი გზიდან იმ გზაზე გასვლისას, რომელიც არ არის გრუნტოვანი გზა, მძღოლი ვალდებულია გზა დაუთმოს ამ გზაზე მოძრავ სატრანსპორტო საშუალებას."
99,"რომელი ავტომობილის მძღოლს წარმოექმნება გზის დათმობის ვალდებულება ისრის მიმართულებით მოძრაობის შემთხვევაში, თუ მსუბუქი ავტომობილი გამოდის ავტოგასამართი სადგურის ტერიტორიიდან?",https://starti.ge/exam/ticket_media/new/ticketIMG-99.jpg,მსუბუქი ავტომობილის მძღოლს,მოპედის მძღოლს,undefined,undefined,მსუბუქი ავტომობილის მძღოლს,1,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 32-ე მუხლის მე-3 პუნქტის თანახმად, მიმდებარე ტერიტორიიდან გზაზე გასვლისას მძღოლი ვალდებულია გზა დაუთმოს გზაზე მოძრავ სატრანსპორტო საშუალებასა და ქვეითს, ხოლო გზიდან გადასვლისას – იმ ქვეითს, ველოსიპედისტს, მოპედისა და ორბორბლიანი ელექტროთვითმგორავის მძღოლებს, რომლებსაც გზას უჭრის."
102,რა თანამიმდევრობით უნდა გაიარონ გზაჯვარედინი სატრანსპორტო საშუალებებმა ისრის მიმართულებით მოძრაობის შემთხვევაში?,https://starti.ge/exam/ticket_media/new/ticketIMG-102.jpg,"ჯერ უნდა გაიაროს მსუბუქმა ავტომობილმა, შემდეგ - სატვირთო ავტომობილმა, ბოლოს - მოტოციკლმა","ჯერ უნდა გაიაროს სატვირთო ავტომობილმა, შემდეგ - მოტოციკლმა, ბოლოს - მსუბუქმა ავტომობილმა","ჯერ უნდა გაიაროს მოტოციკლმა, შემდეგ - მსუბუქმა ავტომობილმა, ბოლოს - სატვირთო ავტომობილმა",undefined,"ჯერ უნდა გაიაროს სატვირთო ავტომობილმა, შემდეგ - მოტოციკლმა, ბოლოს - მსუბუქმა ავტომობილმა",2,"„საგზაო მოძრაობის შესახებ“ საქართველოს კანონის 36-ე მუხლის მე-3 პუნქტის „ა“ და „ბ“ ქვეპუნქტების თანახმად, რეგულირებულ გზაჯვარედინზე: ა) შუქნიშნის მწვანე სიგნალის ჩართვის დროს მარცხნივ მოხვევისას ან მობრუნებისას ურელსო სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს საპირისპირო მიმართულებიდან პირდაპირ ან მარჯვნივ მოძრავ სატრანსპორტო საშუალებას. ამავე წესით უნდა იხელმძღვანელონ ურთიერთშორის მოძრავი ტრამვაის მძღოლებმაც; ბ) შუქნიშნის დამატებით სექციაში ძირითად ყვითელ ან წითელ მაშუქ სიგნალთან ერთად ჩართული ისრის მიმართულებით მოძრაო¬ბისას სატრანსპორტო საშუალების მძღოლი ვალდებულია გზა დაუთმოს სხვა მიმართულებიდან მოძრავ სატრანსპორტო საშუალებას."
